Price,Close,High,Low,Open,Volume
Ticker,JBL,JBL,JBL,JBL,JBL
Date,,,,,
2008-02-11,11.373027801513672,11.49974741171744,10.660233865050241,10.755273006225101,2118600
2008-02-12,11.190868377685547,11.547265305830157,11.11166872462947,11.460146291711567,1531600
2008-02-13,11.668427467346191,11.700264892887574,11.326174573478253,11.365971545171007,1588600
2008-02-14,11.37392807006836,11.7400587460711,11.350050197021023,11.692302240912525,1176200
2008-02-15,11.4614839553833,11.588834418097251,11.358012890465886,11.373931223890063,952900
2008-02-19,11.437603950500488,11.692303310474633,11.381888655272135,11.56495363048756,1196800
2008-02-20,11.453526496887207,11.525160144202133,11.294338589793957,11.350054660902273,1085200
2008-02-21,11.254541397094727,11.740062346288308,11.230662757660847,11.517200358354351,1129600
2008-02-22,11.381888389587402,11.477400647348187,11.111269946399872,11.318213551080213,1140500
2008-02-25,11.628630638122559,11.660468064054001,11.278418952876702,11.413728202851356,1345200
2008-02-26,11.708227157592773,11.771902023460317,11.461486483057833,11.533120896924888,1111700
2008-02-27,11.803736686706543,11.939045934691508,11.612712133926863,11.612712133926863,828100
2008-02-28,10.888411521911621,11.708225901287491,10.784939686213432,11.700266354142048,2649800
2008-02-29,10.283498764038086,10.856573207720418,10.243701790618012,10.745141833957035,2953600
2008-03-03,10.02083969116211,10.124311517282571,9.79797770516795,10.028799237570789,2928600
2008-03-04,10.052681922912598,10.06064147312594,9.734306745959262,9.885535163754831,2230600
2008-03-05,10.347173690795898,10.62575174763529,10.26757974339489,10.562076893340137,3878400
2008-03-06,9.845730781555176,10.38696764477876,9.83777123731626,10.363089771125932,3362500
2008-03-07,9.646751403808594,10.004922718390402,9.583076537174685,9.79002023326703,3845600
2008-03-10,9.66266918182373,9.901449519594477,9.591034776866834,9.638790540795311,2780000
2008-03-11,10.124313354492188,10.124313354492188,9.567157908870454,9.869613136644107,2869000
2008-03-12,9.93328857421875,10.187988806756058,9.893492350786824,10.124313938387807,1340400
2008-03-13,10.140230178833008,10.187986699764759,9.734302407637653,9.790018475235385,1707200
2008-03-14,9.901451110839844,10.243704096608274,9.797980019344754,10.140232246048882,1660600
2008-03-17,9.869608879089355,9.99695931260906,9.678584367405701,9.678584367405701,1596800
2008-03-18,10.052681922912598,10.092478914914826,9.79798238860152,10.036762822485912,1621800
2008-03-19,9.734305381774902,10.172070714321155,9.734305381774902,10.172070714321155,2755600
2008-03-20,9.21694564819336,9.75022322402864,9.145311233668577,9.75022322402864,6889500
2008-03-24,9.057759284973145,9.35225575818574,8.970206525606487,9.240824352484616,7944800
2008-03-25,9.057759284973145,9.193068577944384,8.890612555953634,9.129393705847843,8788900
2008-03-26,7.39424991607666,7.895689992767884,7.362412487035829,7.4977217502254065,19396500
2008-03-27,7.187305450439453,7.465883492940185,7.187305450439453,7.442005613574554,7339900
2008-03-28,7.330572605133057,7.3942474419086635,7.258938223994517,7.29077564238232,5590800
2008-03-31,7.5295562744140625,7.553434147216716,7.28281572524033,7.449962352986693,4619700
2008-04-01,7.863849639892578,7.863849639892578,7.601190758198093,7.720580882945076,5523000
2008-04-02,7.704664707183838,7.903648810083717,7.593233336296825,7.855892291399536,4846300
2008-04-03,7.736499309539795,7.792214595115719,7.56139315036196,7.640987066096568,3378900
2008-04-04,7.943442344665527,8.02303626260987,7.633027734623078,7.680783478138598,3404200
2008-04-07,8.038957595825195,8.174266838696253,7.879769715461077,8.015078958332136,3524000
