Price,Close,High,Low,Open,Volume
Ticker,DTE,DTE,DTE,DTE,DTE
Date,,,,,
2008-02-19,18.610490798950195,18.74217001558319,18.43492113328961,18.544652174327474,1573090
2008-02-20,18.610490798950195,18.649993973723827,18.351523574713273,18.412974925082036,1033648
2008-02-21,18.693883895874023,18.693883895874023,18.074998939608736,18.5709851463096,1885523
2008-02-22,18.298852920532227,18.746557541361163,18.096947802313576,18.742170267048344,1655810
2008-02-25,18.34273910522461,18.443693597420214,18.215451139161477,18.39102074752442,1711975
2008-02-26,18.456867218017578,18.496370392526927,18.24179241163469,18.312020277429088,1316940
2008-02-27,18.083770751953125,18.557810578536348,18.053044108507514,18.382239033669535,1647350
2008-02-28,18.171558380126953,18.211061541232652,17.96526212696586,17.991597567702993,2086213
2008-02-29,17.473676681518555,18.2242411676507,17.39028106470124,18.2242411676507,1724900
2008-03-03,17.640457153320312,17.679960316134263,17.346378052372014,17.486833742377172,1176998
2008-03-04,17.868703842163086,17.93015322107054,17.561454980238402,17.561454980238402,1592948
2008-03-05,17.846752166748047,17.95209392688164,17.631677439088467,17.95209392688164,1306365
2008-03-06,17.359548568725586,17.81603362125848,17.34638281156238,17.789698172157063,1362178
2008-03-07,17.346384048461914,17.42539040139978,17.109363022260663,17.328825113754743,1425040
2008-03-10,17.31566047668457,17.44733972245496,17.109366073885486,17.337606689748302,1882703
2008-03-11,17.890644073486328,17.890644073486328,17.429771918223135,17.67556935175723,1876710
2008-03-12,17.58340072631836,18.02232681725946,17.58340072631836,18.02232681725946,1414700
2008-03-13,17.469284057617188,17.54829041615365,17.223484530338187,17.53512268973091,1286978
2008-03-14,17.236652374267578,17.688746285251607,17.03474526702127,17.688746285251607,1359005
2008-03-17,17.258899688720703,17.43687133062374,16.84956092373677,17.120969671942376,1521625
2008-03-18,17.574800491333008,17.59259965097955,17.241101646849287,17.356785215882,1189335
2008-03-19,17.272247314453125,17.855106427640084,17.272247314453125,17.766120607963213,1024835
2008-03-20,17.445768356323242,17.539203459986677,17.094272400619406,17.29449247420149,1024130
2008-03-24,17.356779098510742,17.521402819911543,17.196602672574627,17.48580850177083,736255
2008-03-25,17.28559684753418,17.379031967168515,17.16991327654041,17.330089761645766,1181933
2008-03-26,17.29448890686035,17.42796759884684,17.214401691668456,17.232196856297104,728853
2008-03-27,17.410171508789062,17.57479523901258,17.33453357868636,17.503606598915923,1355363
2008-03-28,17.22330093383789,17.556999709586087,17.15656157754889,17.556999709586087,1370403
2008-03-31,17.303390502929688,17.34343411750668,17.027532497096082,17.22330127947248,2130040
2008-04-01,17.694927215576172,17.74831869309026,17.33008345826032,17.338982037845998,1353130
2008-04-02,17.881799697875977,18.00638182247912,17.6860309216903,17.708277373529583,973135
2008-04-03,17.895143508911133,17.979680006720674,17.659331172916094,17.81060701110159,922140
2008-04-04,18.05977439880371,18.380125318961237,17.864003616478385,17.921844394757624,1095453
2008-04-07,18.006383895874023,18.188804821961494,17.948543114431654,18.188804821961494,966085
2008-04-08,17.792804718017578,18.024169692176592,17.74831183727587,17.886239767575162,1246558
2008-04-09,17.886249542236328,17.979684642855286,17.775017279594714,17.83730734667402,640493
2008-04-10,17.993032455444336,18.05532251541556,17.877348921194773,18.019728195432005,1491310
2008-04-11,18.090917587280273,18.233294873131882,17.8150596016397,17.8150596016397,1324578
2008-04-14,18.27778434753418,18.291132215579793,18.068667748152905,18.122059220335355,900990
2008-04-15,18.486902236938477,18.562540152982105,18.282234934702775,18.282234934702775,1561340
2008-04-16,18.847305297851562,18.847305297851562,18.442417802580863,18.607041577699373,929308
2008-04-17,18.82060432434082,18.940735153906644,18.700473494774997,18.75386497458203,988410
2008-04-18,18.94074058532715,19.100917064983225,18.77166751745505,19.056424152385308,781493
2008-04-21,18.642635345458984,18.931841260306463,18.60704101677665,18.90069622270942,978070
2008-04-22,18.442413330078125,18.589239904711782,18.353427527269847,18.553645583588473,1066900
2008-04-23,18.4602108001709,18.66488014436479,18.384572866515605,18.66488014436479,816155
