Price,Close,High,Low,Open,Volume
Ticker,SLB,SLB,SLB,SLB,SLB
Date,,,,,
2008-03-04,57.70613098144531,59.494301010376205,56.42301088567283,58.92781735988643,10326600
2008-03-05,59.9583854675293,60.060762809197826,58.020063349017484,58.020063349017484,10181800
2008-03-06,59.82872772216797,61.084541494818176,59.37826938602437,59.787773650709035,10236200
2008-03-07,58.42959213256836,59.856033351011064,57.48090510041505,59.44652901888728,8947600
2008-03-10,56.5117301940918,58.66162872827285,56.31380201908827,58.463705760398184,10124500
2008-03-11,59.11209487915039,59.11209487915039,57.57644988964796,57.57644988964796,10591000
2008-03-12,57.56281280517578,59.71271742983041,57.40583863413976,59.12575920958487,10058500
2008-03-13,58.122432708740234,58.53193681204932,55.842851362011956,56.75058901588399,9684500
2008-03-14,57.262489318847656,58.477354148803705,55.85651765104542,58.477354148803705,10254200
2008-03-17,55.4401969909668,56.51173569292085,54.51880586422957,55.7882727604464,11851700
2008-03-18,57.583274841308594,57.583274841308594,55.870176131368275,56.70283778019495,9894900
2008-03-19,54.716732025146484,57.5013693202787,54.525630384581774,56.67553425519311,10977800
2008-03-20,55.03752136230469,55.99303493461395,53.884079569456865,53.945508082721275,12296700
2008-03-24,55.467498779296875,56.49808872771229,54.90784166165915,55.15354529448839,7505000
2008-03-25,56.40251922607422,56.88027323893749,55.52890891276525,55.597158742155976,9753900
2008-03-26,59.0506477355957,59.214453565245776,56.143164555533644,56.56631659764323,10408300
2008-03-27,58.27260971069336,59.87650983827776,58.23166084177795,58.97559827223005,8727900
2008-03-28,58.463714599609375,59.350973041176125,57.45359914120316,58.44323495871637,6754800
2008-03-31,59.37827682495117,60.51806548670745,58.34086554397423,58.42276328289379,9225900
2008-04-01,60.9070930480957,60.9070930480957,58.504664000579204,59.37827456331247,8595200
2008-04-02,61.971839904785156,62.35404340568658,60.074459879417795,60.84569863862096,8613000
2008-04-03,62.313053131103516,63.132061576816135,60.8524847717345,61.71926862332821,7287900
2008-04-04,62.3608512878418,63.39826271136097,61.71246459190303,62.5314785435419,6935500
2008-04-07,61.82164764404297,64.83833525570263,61.76704569095882,63.173012136538084,13870600
2008-04-08,61.166446685791016,62.92049427001697,60.77741683892781,61.61689983141342,10757300
2008-04-09,61.54863739013672,62.306222495904755,60.40202251711981,61.32340825985359,11534600
2008-04-10,63.2003288269043,63.59618527449492,61.6783367579471,61.6783367579471,11560700
2008-04-11,61.842098236083984,63.19346220766207,61.76702188131556,62.94776392775165,7155200
2008-04-14,62.237998962402344,62.51099840365533,61.378036142489876,61.944519876637884,7092900
2008-04-15,62.197025299072266,62.995564555438534,61.500868611638694,62.51097872337595,7009600
2008-04-16,64.70184326171875,64.83834295350593,62.033231068104946,62.783989787193335,9444900
2008-04-17,65.0430908203125,65.0430908203125,63.22761491017031,64.70183641980117,8257400
2008-04-18,69.51349639892578,69.55445045372825,63.254894099023915,63.643923773321056,24207000
2008-04-21,72.96702575683594,73.17860184015511,69.75923094506558,69.82065945104402,14142100
2008-04-22,72.2845230102539,72.57117551008999,70.99457634673179,72.00469185055925,10700300
2008-04-23,71.57469940185547,72.6735389813793,70.83758865152976,71.94325477701832,10388400
2008-04-24,69.57494354248047,70.9126600657254,68.60577716143906,70.9126600657254,8902600
2008-04-25,70.1209716796875,70.70110327566684,68.60580089944077,70.0595483704436,6957800
2008-04-28,69.86162567138672,70.83761380576014,69.25419304304914,70.47588484811313,5938800
2008-04-29,67.74585723876953,69.22007424178526,67.39094957760165,69.14499782142786,7350800
2008-04-30,68.62625885009766,69.58176696161148,67.58201605886555,68.40785625216184,9723500
2008-05-01,67.12477111816406,67.91648419923557,65.39119732314705,67.49332666895963,10312600
2008-05-02,67.9983901977539,68.59900163052558,67.00192738362962,67.63666115236114,7563100
2008-05-05,69.31562042236328,70.06638457524328,68.34645877953952,68.42153519482751,5565100
2008-05-06,70.69425964355469,71.11741174837584,69.00163560288406,69.00163560288406,6791500
2008-05-07,69.62272644042969,71.32217195043923,69.61589989420862,71.11741722083993,7986800
2008-05-08,72.04561614990234,72.17529446818291,69.6636622632745,70.03221758328655,7322000
2008-05-09,71.67024230957031,72.31179696699446,70.50315302054901,71.84086948996165,6093200
2008-05-12,70.60555267333984,71.28124032009215,69.37703962012993,71.28124032009215,7138100
2008-05-13,71.59516906738281,71.66341890110101,68.9948071835526,70.70790560766062,7266800
2008-05-14,70.33937072753906,71.65661320945199,70.17557003751959,71.18568557475476,8291000
2008-05-15,70.60555267333984,71.4586889077066,68.2577252972112,71.2266383513814,10962000
2008-05-16,71.875,72.17530553802338,70.87853777771112,71.54739869227349,9684300
2008-05-19,72.77590942382812,73.69047389782833,71.15836694585695,72.12070161910036,7712500
2008-05-20,72.29132843017578,73.38334143225285,71.56104424686842,73.02843915925108,8424400
2008-05-21,71.15839385986328,74.07270516508075,70.91269018926758,72.24358073238537,9357300
2008-05-22,69.93671417236328,71.37680891064514,69.56815860261455,71.37680891064514,9112600
2008-05-23,68.27133178710938,70.64646391447916,67.5683487894104,70.51678561920868,8184500
2008-05-27,68.95389556884766,69.54085382868958,66.93366919825765,67.90965744826164,7942200
2008-05-28,70.22333526611328,70.29841165629715,67.46599888308843,68.29866051448818,6918200
2008-05-29,68.92658996582031,70.23701134609094,68.63311085554238,69.85480272357697,7441300
2008-05-30,69.02212524414062,69.98446532130819,68.70817176561832,69.02895179134084,8362100
2008-06-02,68.57072448730469,69.72656097414188,67.74317100552312,68.76222377658118,6009400
2008-06-03,67.69530487060547,69.22730459938464,67.56535667136393,68.16721240317878,8071200
2008-06-04,67.81156158447266,69.06315291030711,67.3533304054942,67.37384744067768,8385300
2008-06-05,71.80570983886719,71.8125505904297,67.96203189914343,67.96203189914343,7773900
2008-06-06,69.7197265625,74.26101487655068,69.65132948554586,72.27077890677272,13101500
2008-06-09,71.68258666992188,72.08610743612428,69.62396442835914,70.21214370250948,7057600
2008-06-10,69.99330139160156,71.74416343087043,69.13839001901722,71.31328475959037,7799800
2008-06-11,69.28202819824219,70.53361463518691,68.46131004936545,70.25320638401239,6748100
2008-06-12,67.58587646484375,68.68700278234608,67.16867927781665,68.40658933422796,9059000
2008-06-13,68.180908203125,68.85115594214044,67.20288917263159,67.36703073064021,5667500
2008-06-16,68.9879379272461,69.63766855787826,68.39975841788906,68.69384817256757,5617500
2008-06-17,70.7661361694336,71.03970881961604,68.39974239858945,68.46129350544925,6875900
2008-06-18,71.7578353881836,72.21606660393472,70.44469285142007,70.64987365564889,9617400
2008-06-19,71.69627380371094,73.7480606743987,71.60052416718261,72.60590056869384,11428300
2008-06-20,71.197021484375,72.7700605726593,70.90293174936411,72.41441450252444,8593100
2008-06-23,74.15156555175781,74.19944036311202,70.9234205062657,71.12860125090548,10519800
2008-06-24,73.01626586914062,75.30742711261377,72.71533542138928,73.720711946409,10249200
2008-06-25,71.96302032470703,73.59076969491673,69.84967670446942,73.43346892487804,10768200
2008-06-26,71.81938171386719,73.31034705877454,70.27370079972414,72.03823877284607,8327300
2008-06-27,72.4280776977539,73.40609631643893,71.69627392139265,72.0382384004019,8627100
2008-06-30,73.47451782226562,74.30891232267612,72.68115740614876,72.68115740614876,8051500
2008-07-01,75.136474609375,75.33481473594662,72.29132616775432,73.27618604646403,11915100
2008-07-02,70.6908950805664,76.56584212273448,70.60198619755687,75.4783976216065,11342400
2008-07-03,69.67869567871094,71.73732375582973,68.39291083350838,71.12862726684871,8433400
2008-07-07,68.05777740478516,69.75391843147919,67.19602538914627,69.04947238441129,9728400
2008-07-08,65.78713989257812,67.55851370562972,64.41928173221157,67.5037981269035,14244300
2008-07-09,66.49842834472656,68.9810890864096,66.33428160464139,67.0592499951053,12030800
2008-07-10,67.86632537841797,67.9894328949554,64.75444412136856,66.64209096895337,10766700
2008-07-11,67.81842041015625,69.45301074296329,66.92246963063421,67.55852398066128,9137700
2008-07-14,69.61714172363281,70.44469528480336,67.50379815174702,67.50379815174702,8544300
2008-07-15,66.55311584472656,69.92488534073684,66.19747513264012,69.19992241727424,11359100
2008-07-16,65.56143188476562,67.01819872135607,63.701144240052734,66.30691196202679,13275400
2008-07-17,66.19066619873047,68.31768639788409,64.67234256147322,66.86775463605997,19265400
2008-07-18,68.76907348632812,70.23951688538386,67.57219755446837,68.29716073487464,19957500
2008-07-21,72.55117797851562,72.55117797851562,69.21360165236867,69.41194165682931,12308100
2008-07-22,71.19019317626953,73.86435905021108,70.52678618641006,72.61276726954841,11349800
