Price,Close,High,Low,Open,Volume
Ticker,MSI,MSI,MSI,MSI,MSI
Date,,,,,
2008-01-02,49.89139938354492,50.13977160866108,49.146288567552084,49.70512460922452,5595077
2008-01-03,49.829315185546875,50.29501097947908,49.5809429235784,49.984547116857605,6970291
2008-01-04,46.78678512573242,48.74270311458935,46.227951833155984,48.71165730883711,9988176
2008-01-07,46.50735092163086,46.97304663580556,45.82433464239013,46.97304663580556,7394212
2008-01-08,46.1037483215332,47.34560059179285,45.91747062747814,46.63153560963549,5860309
2008-01-09,45.91748046875,46.41422206925362,44.5514447294629,46.29003593670814,6134100
2008-01-10,46.35212326049805,46.63153835318108,45.17236250895351,45.48282632720384,5548200
2008-01-11,45.45177459716797,46.134790806595696,45.14131081945154,45.82432995855671,3690439
2008-01-14,45.358642578125,46.44526306895951,45.04817874369286,45.731198007572374,5028497
2008-01-15,44.42724609375,45.07921944403092,44.11678231459933,44.892941762476006,4858306
2008-01-16,43.49586868286133,44.55144345510838,43.34063675403932,43.58900608234761,7722597
2008-01-17,41.633094787597656,43.80633610877171,41.50890864848878,43.526918028196334,7622758
2008-01-18,41.38471221923828,42.50237840427974,40.70169301848704,42.22296332285823,6936722
2008-01-22,38.249046325683594,38.34218373192598,35.85848147964307,37.90753664343803,21844552
2008-01-23,31.077348709106445,33.12640679277032,29.276662900256706,31.698276466463398,41402350
2008-01-24,31.449901580810547,32.288152811782986,30.797931005323676,31.480950309843575,21714162
2008-01-25,33.31266784667969,33.68522314259785,31.822443733330115,32.07081588372684,11921831
2008-01-28,34.89603042602539,34.98917072561722,33.28162591008814,33.43685485994575,11389338
2008-01-29,35.11336898803711,36.10684925992491,34.7408135198694,35.051274456890305,7063649
2008-01-30,35.051273345947266,36.386266172634464,34.8029040182669,34.896041417517715,6983871
2008-01-31,35.7032470703125,36.16893992867377,34.39930296535145,34.61662649456526,7419839
2008-02-01,39.39775466918945,40.26705168953674,38.714735372510994,40.04972816686945,15810093
2008-02-04,37.93857192993164,39.087286796275976,37.628108135819375,38.83891458911513,7458503
2008-02-05,35.734291076660156,37.34869895928336,35.70324527828476,37.34869895928336,7802449
2008-02-06,35.610107421875,36.137894819875704,34.709764558188894,36.07580321882089,7583080
2008-02-07,35.45487976074219,36.01371298041484,35.02022974787788,35.330693624255474,6181818
2008-02-08,34.9581298828125,35.70324066628386,34.802897981309684,35.23754496177542,8445690
2008-02-11,35.92056655883789,36.41730809093279,35.2065015219758,35.392779230301656,6801138
2008-02-12,35.889522552490234,36.51044730132087,35.548012915246076,36.07580027010722,6478194
2008-02-13,36.41729736328125,36.63462080403023,35.765324111357316,36.19997392253227,5110996
2008-02-14,35.734291076660156,37.00718931779787,35.70324527828476,36.51044775475733,5294768
2008-02-15,35.02021789550781,35.64114543811402,34.833940218661425,35.39277324920059,8367495
2008-02-19,35.051273345947266,35.51696913123591,34.8029040182669,35.392783002556634,6389437
2008-02-20,35.579044342041016,35.579044342041016,34.55451877381602,34.70974770106463,4420829
2008-02-21,35.02021789550781,35.88951469735008,34.92708052192331,35.64114543811402,3517353
2008-02-22,35.268592834472656,35.423824745123085,34.46139041470385,35.08231512762771,9267409
2008-02-25,34.64767837524414,34.833956137216454,33.74733537076483,34.554540959097345,7265826
2008-02-26,34.18196487426758,34.64766050382989,33.93359562964067,34.430337048571694,7449499
2008-02-27,33.77836990356445,34.15092530317918,33.685232518499646,34.08883371313597,4909635
2008-02-28,32.28815460205078,33.74733069006154,32.1018768659149,33.59209875500192,10338578
2008-02-29,30.953155517578125,32.13291318854543,30.51850564168692,32.008730020871475,12987582
2008-03-03,30.45641326904297,31.2015239744985,30.14594949854404,31.2015239744985,9870155
2008-03-04,30.8289737701416,30.92211408871646,29.462935295562794,30.1149087365532,13060631
2008-03-05,31.1083927154541,31.356762022863364,30.611651170957632,31.294670428430535,7308324
2008-03-06,30.860004425048828,31.356745711141386,30.82895864398237,31.356745711141386,6192183
2008-03-07,30.487455368041992,31.10838283384381,29.897576619271877,30.673733021847134,6634805
2008-03-10,29.618160247802734,31.015244190428774,29.55606866979346,30.580597285009514,5191614
2008-03-11,31.077348709106445,31.077348709106445,29.897590657613662,29.990728063410167,5919357
2008-03-12,31.233356475830078,32.419039837242345,31.046143623437125,31.139751521826266,5780334
2008-03-13,30.76531219482422,31.108536096303386,29.860449984847506,30.702905975401805,4413952
2008-03-14,29.798059463500977,31.326967006849646,29.64205119371746,31.295765352892943,5673717
2008-03-17,28.861997604370117,29.735658712201374,28.45637017928676,29.049210488592113,8181719
2008-03-18,30.390886306762695,30.515692855405963,29.174001846802877,29.36121461415177,7051156
2008-03-19,29.111616134643555,30.57811752097008,29.111616134643555,30.484509608632795,5827434
2008-03-20,28.861997604370117,29.454840858061296,28.019541097564048,29.142818402896026,8711218
2008-03-24,30.23488998413086,30.609315702203876,29.018004928200824,29.26762403650646,5009004
2008-03-25,30.453296661376953,30.796520638712387,29.548434251415717,30.484498305792048,4845813
2008-03-26,31.26454734802246,32.29421611201944,30.578099542435115,32.138204979441944,14728386
2008-03-27,29.642032623291016,30.921320244754455,29.33001039043152,30.89011566596152,8300680
2008-03-28,28.73719024658203,29.95407249086798,28.64358233466001,29.860467523331717,5757180
2008-03-31,29.017995834350586,29.26761486442897,28.393954147923647,28.737178105993042,4971750
2008-04-01,29.548444747924805,30.078881724562905,29.2052206486657,29.642052658807163,8656549
2008-04-02,29.985279083251953,30.047682399088725,29.17402125544413,29.54844703923668,5635028
2008-04-03,30.4845027923584,30.60931233277235,29.174012923359772,29.54843860021652,5620878
2008-04-04,30.1724910736084,30.484510587855226,29.642054071687173,30.484510587855226,4419369
2008-04-07,30.702911376953125,31.139743212225554,30.453295288500694,31.108541569217067,4229610
2008-04-08,29.610836029052734,30.546902980041434,29.486029457761862,30.546902980041434,5437724
2008-04-09,29.049205780029297,29.76685554395464,28.92439917370166,29.70445224079082,4457341
2008-04-10,28.425167083740234,29.080413617540977,27.957133424684606,29.018007363035483,11934150
