,Price,return,ma,vol,rvol
63,2008-04-03,0.005284131464209585,-0.006662291743985632,0.0289431774862247,1.1146242560151074
64,2008-04-04,0.009681592408139261,-0.0065814365359488855,0.02898220100964021,0.540522433210365
65,2008-04-07,0.00465751456979091,-0.006248212429675143,0.02898892705619312,0.6705986070121024
66,2008-04-08,0.03845111437767512,-0.005887314048209425,0.029405302368091614,1.149594059034146
67,2008-04-09,-0.021008095923121695,-0.0060337940898372465,0.02945806651358241,0.670046429706177
68,2008-04-10,-0.018240580283327867,-0.0063176821553986556,0.029488626323419528,0.6413167435728412
69,2008-04-11,-0.019945103482677418,-0.00660602412287331,0.029532316164320487,0.6658616313041813
70,2008-04-14,0.011708452335278396,-0.0063692393898908874,0.02961966577403535,0.4292664952526067
71,2008-04-15,0.026177899114731673,-0.005814605175635067,0.029899920786236444,0.8480407045458858
72,2008-04-16,-0.03866790272811571,-0.006293763488081189,0.03018386982318155,1.0893493458459513
73,2008-04-17,0.02514019134508283,-0.005990037969892514,0.030405088225825983,0.6566205886024408
74,2008-04-18,0.01498560061070675,-0.005488008566358322,0.03048736698274001,0.8463797708044387
75,2008-04-21,0.01503391274787913,-0.005261054743361349,0.030587500083942717,0.7575207170092879
76,2008-04-22,-0.0967997289419501,-0.005869678831408068,0.0320113755597124,2.6414833059101266
77,2008-04-23,0.016984034450615804,-0.0053304859703389215,0.03210707127231044,1.635936139332366
78,2008-04-24,-0.03282494867564689,-0.005684434762280705,0.03228767548392238,0.92940232937979
79,2008-04-25,0.011908239370778784,-0.005552761845159413,0.03234306969394082,0.9278809237309761
80,2008-04-28,-0.010296843180697568,-0.006351123706421174,0.031816991576087555,0.903539054557777
81,2008-04-29,-0.0071341943295973875,-0.0060919530184189215,0.031741775747318075,0.9793906268939603
82,2008-04-30,-0.023054118550055902,-0.006264092701170695,0.031804829819103535,1.3143989420399012
83,2008-05-01,0.008274480208542823,-0.006347938429691553,0.03175866337200023,2.3527091064972154
84,2008-05-02,0.017325137072232932,-0.005841899692228957,0.031879538456213975,1.1484884400993123
85,2008-05-05,-0.011950791463451127,-0.0059682245372896115,0.0318878580795788,0.9993115898221525
86,2008-05-06,-0.008164676296490092,-0.005938775602257599,0.03188491244238423,1.0438188282782739
87,2008-05-07,-0.004268356164513154,-0.006000094931057056,0.03187781288140765,0.7475776314988181
88,2008-05-08,0.010410171543682178,-0.00572235525758891,0.03194434220428438,0.6281666886640452
89,2008-05-09,-0.0018178678070340792,-0.005482504727028757,0.031915560489284046,0.4509811905752188
90,2008-05-12,-0.004857201370149555,-0.005566190933382847,0.0319067580472159,0.4443276077329338
91,2008-05-13,-0.0070166437434385776,-0.005694024104355982,0.031896007732865106,0.5405993841241161
92,2008-05-14,-0.016282395276330908,-0.005524988157129133,0.03180974325667403,0.9187780832233262
93,2008-05-15,-0.00999403783233821,-0.005561961197708832,0.031813623896635876,1.4265274245676645
94,2008-05-16,0.01955844503976989,-0.0056363279732538065,0.03174823618147455,1.5579847390567192
95,2008-05-19,0.034653163010087695,-0.0051993251614054475,0.03211405288545819,1.1530762225124997
96,2008-05-20,0.01824162036194399,-0.004916383005206,0.03224259552011879,1.6553536984339792
97,2008-05-21,0.0032308977041939357,-0.004766091116573796,0.03225840168580476,1.0828315932393837
98,2008-05-22,0.03337267571121627,-0.004090265148537108,0.03260802650878897,1.3560739159637125
99,2008-05-23,-0.015581487807980299,-0.00454538528100243,0.032564420136934544,0.9955550951457159
100,2008-05-27,0.007770643608714156,-0.004736322856403154,0.032454453074247755,0.8502274884508171
101,2008-05-28,-0.0225587192278901,-0.005172260749745341,0.032507264072098425,1.2512434507078523
102,2008-05-29,0.007887358515039633,-0.004672588850370993,0.032461469981902226,0.9155984856667645
103,2008-05-30,-0.008405937538853547,-0.004300163406298762,0.03227849707501605,0.6194795300677739
104,2008-06-02,-0.006430735650117425,-0.004357853063937689,0.032279013749715035,0.8360582986393991
105,2008-06-03,-0.0011766133473904983,-0.004516929758819361,0.032237565276159084,0.7818161123304884
106,2008-06-04,-0.0038291315252938496,-0.004733862048571148,0.032185353770213476,0.898090372525336
107,2008-06-05,0.0035482182704307252,-0.004203573573801755,0.03203958492620838,0.847580151045728
108,2008-06-06,-0.02681223920038045,-0.004421258746279892,0.032147398531174584,0.9849716155950287
109,2008-06-09,-0.0030274615198904176,-0.004420171289431359,0.03214744524374383,0.7113476906033174
110,2008-06-10,-0.010021048170594349,-0.0021738034491240303,0.026071543622003653,0.7613123396344141
111,2008-06-11,-0.019939009846064448,-0.001842757973762589,0.02570304524147754,0.9769563417825541
112,2008-06-12,-0.029420599108913148,-0.0030021363446157477,0.025262830173438243,1.3637679005180883
113,2008-06-13,-0.008707056445445005,-0.002688367102400953,0.02506332557409575,1.5617447487538605
114,2008-06-16,-0.017566681677735452,-0.001537400966095085,0.02252152934703835,0.965466647876376
115,2008-06-17,-0.006622557954008901,-0.00221477030724747,0.022008651851831047,0.6496966527299155
116,2008-06-18,0.007333737926622064,-0.002320200823459184,0.021945660198365333,1.6077812585483313
117,2008-06-19,-0.07710165234884048,-0.003441348039358752,0.023880010786688957,4.280846652505307
118,2008-06-20,-0.02760814360552999,-0.0040548366044776485,0.023998108367723474,1.451599807312604
119,2008-06-23,-0.026917587440062896,-0.004290968179255018,0.024150662773610408,1.264693565232781
120,2008-06-24,0.0015152822654656006,-0.003736017858184871,0.02386995683851322,1.1346602125593797
121,2008-06-25,0.013621427636934191,-0.003473252673260982,0.0239698486341044,0.696009102476265
