,Price,return,ma,vol,rvol
63,2008-04-03,0.0,-0.0015783605419590534,0.026896697317108663,0.5840980046051
64,2008-04-04,0.011668268469791299,-0.0018233769917536395,0.026700791353823836,0.5129078007528719
65,2008-04-07,-0.005980307422804421,-0.0015082739698487843,0.02652947860984281,0.45989378467373065
66,2008-04-08,0.0004297264277319801,-0.0012289340421417,0.02645446846064763,0.44111574062336595
67,2008-04-09,0.004510131029505482,-0.0015455401750998576,0.02626075863588839,0.44423596338993754
68,2008-04-10,0.004704094068877618,-0.0015129782531402873,0.026267319172972876,0.5235658551880682
69,2008-04-11,-0.021919724632022075,-0.002160849041820832,0.026259169671449662,0.36126401243685397
70,2008-04-14,-0.01827746020148502,-0.002686473128119774,0.02624485969561856,0.5538951430402902
71,2008-04-15,0.007314363522621381,-0.0030054877020942775,0.025994048670982085,0.6491451902374811
72,2008-04-16,0.054125602796948113,-0.002118117088648536,0.026972406401987663,0.8073360097839452
73,2008-04-17,-0.00814010422924083,-0.0016250750680003308,0.026564412748423378,0.4633220178416358
74,2008-04-18,-0.0263049847441007,-0.0017394032201998768,0.026656185574426425,0.9041427857497658
75,2008-04-21,-0.025718634712871835,-0.002144632550813143,0.0268257499407206,0.8292760135844226
76,2008-04-22,-0.00953840722150845,-0.0023620793041393964,0.026829336579717297,0.7985803187905741
77,2008-04-23,-0.01791720550724407,-0.0018692759306133079,0.02623816621239505,0.9926261109094949
78,2008-04-24,-0.01938412354580843,-0.0029533158235362715,0.0255069649474474,1.2579887229422033
79,2008-04-25,0.04023275148618888,-0.002401594876781112,0.026062072426387847,1.2542375449207033
80,2008-04-28,-0.016544538529242314,-0.003248347378791505,0.025630872168697777,0.5998527164607765
81,2008-04-29,-0.024095514011688746,-0.0034497274224254116,0.025745604043698123,0.9472724205101462
82,2008-04-30,0.02981530645048358,-0.0032788630540328714,0.025932383257029085,1.039979684699497
83,2008-05-01,-0.022166657690007252,-0.0032369573896070905,0.02589914584749145,1.2012422873281663
84,2008-05-02,0.029609038545964195,-0.0024685319332050913,0.026146878232729157,0.9458790104573136
85,2008-05-05,0.018872092088396686,-0.0014771587148797803,0.02574373120528732,0.8451240899385627
86,2008-05-06,0.013671503267856489,-0.000814295133786846,0.02558460877545779,1.034296031137485
87,2008-05-07,-0.016315088867308702,-0.001198376649639242,0.02563353126522643,0.6665607174348723
88,2008-05-08,0.02874818582615979,-0.000853459053451565,0.02589078112292977,0.7239211544573386
89,2008-05-09,-0.016981791041361327,-0.0014611968055100507,0.02581148922148004,0.6375097145749321
90,2008-05-12,-0.010277506082420285,-0.0015098350933379855,0.02582538640724542,0.6205319025040584
91,2008-05-13,-0.004860915313412928,-0.0008294983199522603,0.025143917830307234,0.7306742969462531
92,2008-05-14,0.0013321743093326344,-0.0010702271140656716,0.02504776280528989,0.6836774780629635
93,2008-05-15,0.03614179451896549,-0.000264681053177409,0.025418687260405,0.8996933660612724
94,2008-05-16,0.046008996978231353,0.0006878442482806606,0.026013095490300387,1.5287720724149005
95,2008-05-19,0.0036827240470993505,-0.00011214865230457958,0.02510362879823165,0.7944117252207819
96,2008-05-20,0.01671433689824231,-5.75108488460997e-05,0.025136953275689846,1.0813576298165972
97,2008-05-21,-0.005613758072784636,1.1641745591705284e-05,0.02511522602198014,1.1216548314115677
98,2008-05-22,-0.012298226827635927,1.368070872632987e-06,0.02512020558943561,0.7877505589844797
99,2008-05-23,-0.005103002211988228,3.770661058962891e-05,0.02511099162359618,0.5994311837392141
100,2008-05-27,-0.021953695028025688,-0.0005567840908582175,0.02518228248970078,0.7712364819368461
101,2008-05-28,0.011537979600531267,-0.0006693895083278797,0.025110853000460055,0.6589689790714969
102,2008-05-29,-0.029448483256883984,-0.001584691521587021,0.025091935171121786,0.772495729060598
103,2008-05-30,0.015598169832685693,-0.0008354323044943294,0.024884953892558785,0.5576507100536067
104,2008-06-02,0.005049538557541977,-0.0011306376853259983,0.024699453915211923,0.6593740662573635
105,2008-06-03,-0.016119104106966486,-0.0007258734428157059,0.024229717892911597,0.6659103708664569
106,2008-06-04,-0.0008526591179761622,-0.0011291088712239205,0.024012683304429926,0.8599067047725678
107,2008-06-05,0.0221936063985968,-0.0006500423630675361,0.024174168785829928,0.8390163686970682
108,2008-06-06,0.008768952866029966,-9.002123156277874e-05,0.02397320608375506,1.0007938338161744
109,2008-06-09,0.014485934146281298,0.00020075244901217998,0.02403808444421444,0.7918751798390028
110,2008-06-10,-0.04671555325829302,-0.001421522855578322,0.023692965605075268,1.1746091478225171
111,2008-06-11,0.010058090866745584,-0.0010365064228437164,0.02367907610440256,0.9184385084134966
112,2008-06-12,-0.011652067476534134,-0.0019628964517404307,0.022910119821473764,0.8041514742668128
113,2008-06-13,0.007716212502378195,-0.0017961531752404584,0.022942218557878386,0.692112210214305
114,2008-06-16,0.02765418688050225,-0.0012832009945440656,0.023236493949053305,0.814561150649547
115,2008-06-17,-0.00020716747881099895,-0.0005460651334900923,0.022499112699948944,0.7004861486225789
116,2008-06-18,0.008281572802147696,0.000262226113962658,0.02186831074478657,0.5124278566748423
117,2008-06-19,-0.00020573100487519813,0.0011549146791838818,0.02062887094212699,0.8665833012697192
118,2008-06-20,0.0053404246676493905,0.0014157807091010148,0.020575318625534415,0.951588252077658
119,2008-06-23,0.014504402562787178,0.0011711440137091816,0.02032103689100905,0.6823861920150012
120,2008-06-24,0.01349187184773104,0.0011751125751147857,0.020323456509849857,1.1393960866109614
121,2008-06-25,0.0023844034797841918,0.0014906665547661055,0.020182736303577267,0.9812373285042222
